Zone Timestep,Environment:Site Outdoor Air Drybulb Temperature[C]
2009-Jan-04 08:50:00,2.5
2009-Jan-04 09:00:00,2.4
2009-Jan-04 09:10:00,2.3666666666666667
2009-Jan-04 09:20:00,2.3333333333333335
2009-Jan-04 09:30:00,2.3
2009-Jan-04 09:40:00,2.2666666666666666
2009-Jan-04 09:50:00,2.2333333333333334
2009-Jan-04 10:00:00,2.2
2009-Jan-04 10:10:00,2.3333333333333335
2009-Jan-04 10:20:00,2.466666666666667
2009-Jan-04 10:30:00,2.6
2009-Jan-04 10:40:00,2.7333333333333334
2009-Jan-04 10:50:00,2.8666666666666667
2009-Jan-04 11:00:00,3.0
2009-Jan-04 11:10:00,3.033333333333333
2009-Jan-04 11:20:00,3.0666666666666664
2009-Jan-04 11:30:00,3.1
2009-Jan-04 11:40:00,3.1333333333333333
2009-Jan-04 11:50:00,3.166666666666667
2009-Jan-04 12:00:00,3.2
2009-Jan-04 12:10:00,3.316666666666667
2009-Jan-04 12:20:00,3.4333333333333336
2009-Jan-04 12:30:00,3.55
2009-Jan-04 12:40:00,3.6666666666666665
2009-Jan-04 12:50:00,3.783333333333333
2009-Jan-04 13:00:00,3.9
2009-Jan-04 13:10:00,4.083333333333333
2009-Jan-04 13:20:00,4.266666666666667
2009-Jan-04 13:30:00,4.45
2009-Jan-04 13:40:00,4.633333333333333
2009-Jan-04 13:50:00,4.816666666666666
2009-Jan-04 14:00:00,5.0
2009-Jan-04 14:10:00,5.1000000000000005
2009-Jan-04 14:20:00,5.2
2009-Jan-04 14:30:00,5.3
2009-Jan-04 14:40:00,5.4
2009-Jan-04 14:50:00,5.5
2009-Jan-04 15:00:00,5.6
2009-Jan-04 15:10:00,5.550000000000001
2009-Jan-04 15:20:00,5.5
2009-Jan-04 15:30:00,5.449999999999999
2009-Jan-04 15:40:00,5.4
2009-Jan-04 15:50:00,5.35
2009-Jan-04 16:00:00,5.3
2009-Jan-04 16:10:00,5.216666666666667
2009-Jan-04 16:20:00,5.133333333333334
2009-Jan-04 16:30:00,5.05
2009-Jan-04 16:40:00,4.966666666666667
2009-Jan-04 16:50:00,4.883333333333333
2009-Jan-04 17:00:00,4.8
2009-Jan-04 17:10:00,4.733333333333333
2009-Jan-04 17:20:00,4.666666666666667
2009-Jan-04 17:30:00,4.6
2009-Jan-04 17:40:00,4.533333333333333
2009-Jan-04 17:50:00,4.466666666666667
2009-Jan-04 18:00:00,4.4
